wsw;;;;;;;s;;;;;;;;;;;;;;;;;;;;
wsw;;;;;;;;;;;;;;;;;;;;;;;;;;;
wsw;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;;;;;;;;;;;;;;
s;;;;;;;;;;;;;;;;;;;;;;;;;;;
s;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de tarea;Número de esquema;Nombre;Aero;N° OME;POA;Cuat;Inicio;Finalización;% completado;Duración;Ariba;N° Orden;Prioridad;Depósito;Asignado a;Depende de;Dependientes (después);Esfuerzo;Esfuerzo completado;Esfuerzo restante;Hito;Notas;Completado;Elementos de la lista de comprobación;Etiquetas;Iteración;Goal
1;1;Bacheo Pista 500tn;FMA;34268;320000;1;1/9/2025;29/5/2026;60%;195 días;https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=7hV5on7rrTrFYSWw&realm=ca1492&awrdt=1#b0;700761;Media;;;;;;;;No;;;;;;
2;1.1;Pliego;;;;;1/9/2025;30/9/2025;100%;22 días;;;Media;Pliego;;;3FC;;;;No;;;;;Trabajo pendiente;
3;1.2;Revisión DOM;;;;;1/10/2025;7/10/2025;100%;5 días;;;Media;Pliego;;2FC;4FC;;;;No;;;;;Trabajo pendiente;
4;1.3;Presupuesto;;;;;7/10/2025;30/10/2025;100%;18 días;;;Media;Pliego;;3FC;5FC;;;;No;;;;;Trabajo pendiente;
5;1.4;Documentación en papel;;;;;7/10/2025;30/10/2025;100%;18 días;;;Media;Pliego;;4FC;6FC;;;;No;;;;;Trabajo pendiente;
6;1.5;ORSNA;;;;;3/11/2025;31/12/2025;100%;43 días;;;Media;Pliego;;5FC;7FC;;;;No;;;;;Trabajo pendiente;
7;1.6;Adjudicación;;;;;1/1/2026;30/1/2026;100%;22 días;;;Media;Pliego;;6FC;8FC;;;;No;;;;;Trabajo pendiente;
8;1.7;Ejecución;;;;;2/2/2026;30/4/2026;0%;64 días;;;Media;Pliego;;7FC;9FC;;;;No;;;;;Trabajo pendiente;
9;1.8;CAO presentado;;;;;1/5/2026;29/5/2026;0%;21 días;;;Media;Pliego;;8FC;;;;;No;;;;;Trabajo pendiente;
10;2;Ampliación pre-emabrque;RGA;34290;350000;1;1/9/2025;29/5/2026;90%;195 días;https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=7hV5on7rrTrFYSWw&realm=ca1492&awrdt=1#b0;700815;Media;;;;;;;;No;;;;;;
11;2.1;Pliego;;;;;1/9/2025;30/9/2025;100%;22 días;;;Media;Pliego;;;12FC;;;;No;;;;;Trabajo pendiente;
12;2.2;Revisión DOM;;;;;1/10/2025;7/10/2025;100%;5 días;;;Media;Pliego;;11FC;13FC;;;;No;;;;;Trabajo pendiente;
13;2.3;Presupuesto;;;;;7/10/2025;30/10/2025;100%;18 días;;;Media;Pliego;;12FC;14FC;;;;No;;;;;Trabajo pendiente;
14;2.4;Documentación en papel;;;;;7/10/2025;30/10/2025;100%;18 días;;;Media;Pliego;;13FC;15FC;;;;No;;;;;Trabajo pendiente;
15;2.5;ORSNA;;;;;3/11/2025;31/12/2025;100%;43 días;;;Media;Pliego;;14FC;16FC;;;;No;;;;;Trabajo pendiente;
16;2.6;Adjudicación;;;;;1/1/2026;30/1/2026;100%;22 días;;;Media;Pliego;;15FC;17FC;;;;No;;;;;Trabajo pendiente;
17;2.7;Ejecución;;;;;2/2/2026;30/4/2026;100%;64 días;;;Media;Pliego;;16FC;18FC;;;;No;;;;;Trabajo pendiente;
18;2.8;CAO presentado;;;;;1/5/2026;29/5/2026;0%;21 días;;;Media;Pliego;;17FC;;;;;No;;;;;Trabajo pendiente;
19;3;Cerco olímpico sector norte;MDQ;34319;350000;2;1/1/2026;29/9/2026;48%;194 días;https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=7hV5on7rrTrFYSWw&realm=ca1492&awrdt=1#b0;700821;Media;;;;;;;;No;;;;;;
20;3.1;Pliego;;;;;1/1/2026;30/1/2026;100%;22 días;;;Media;Pliego;;;21FC;;;;No;;;;;Trabajo pendiente;
21;3.2;Revisión DOM;;;;;2/2/2026;6/2/2026;100%;5 días;;;Media;Pliego;;20FC;22FC;;;;No;;;;;Trabajo pendiente;
22;3.3;Presupuesto;;;;;9/2/2026;27/2/2026;100%;15 días;;;Media;Pliego;;21FC;23FC;;;;No;;;;;Trabajo pendiente;
23;3.4;Documentación en papel;;;;;9/2/2026;27/2/2026;100%;15 días;;;Media;Pliego;;22FC;24FC;;;;No;;;;;Trabajo pendiente;
24;3.5;ORSNA;;;;;2/3/2026;30/4/2026;98%;44 días;;;Media;Pliego;;23FC;25FC;;;;No;;;;;Trabajo pendiente;
25;3.6;Adjudicación;;;;;1/5/2026;29/5/2026;0%;21 días;;;Media;Pliego;;24FC;26FC;;;;No;;;;;Trabajo pendiente;
26;3.7;Ejecución;;;;;1/6/2026;31/8/2026;0%;66 días;;;Media;Pliego;;25FC;27FC;;;;No;;;;;Trabajo pendiente;
27;3.8;CAO presentado;;;;;1/9/2026;29/9/2026;0%;21 días;;;Media;Pliego;;26FC;;;;;No;;;;;Trabajo pendiente;
28;4;Desagües pluviales;PSS;34360;160000;2;1/1/2026;29/9/2026;48%;194 días;https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=7hV5on7rrTrFYSWw&realm=ca1492&awrdt=1#b0;700772;Media;;;;;;;;No;;;;;;
29;4.1;Pliego;;;;;1/1/2026;30/1/2026;100%;22 días;;;Media;Pliego;;;30FC;;;;No;;;;;Trabajo pendiente;
30;4.2;Revisión DOM;;;;;2/2/2026;6/2/2026;100%;5 días;;;Media;Pliego;;29FC;31FC;;;;No;;;;;Trabajo pendiente;
31;4.3;Presupuesto;;;;;9/2/2026;27/2/2026;100%;15 días;;;Media;Pliego;;30FC;32FC;;;;No;;;;;Trabajo pendiente;
32;4.4;Documentación en papel;;;;;9/2/2026;27/2/2026;100%;15 días;;;Media;Pliego;;31FC;33FC;;;;No;;;;;Trabajo pendiente;
33;4.5;ORSNA;;;;;2/3/2026;30/4/2026;98%;44 días;;;Media;Pliego;;32FC;34FC;;;;No;;;;;Trabajo pendiente;
34;4.6;Adjudicación;;;;;1/5/2026;29/5/2026;0%;21 días;;;Media;Pliego;;33FC;35FC;;;;No;;;;;Trabajo pendiente;
35;4.7;Ejecución;;;;;1/6/2026;31/8/2026;0%;66 días;;;Media;Pliego;;34FC;36FC;;;;No;;;;;Trabajo pendiente;
36;4.8;CAO presentado;;;;;1/9/2026;29/9/2026;0%;21 días;;;Media;Pliego;;35FC;;;;;No;;;;;Trabajo pendiente;
37;5;Demarcación horizontal rodajes y plataforma;RGL;34359;220000;3;4/5/2026;28/1/2027;16%;194 días;https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=7hV5on7rrTrFYSWw&realm=ca1492&awrdt=1#b0;700876;Media;;;;;;;;No;;;;;;
38;5.1;Pliego;;;;;4/5/2026;2/6/2026;100%;22 días;;;Media;Pliego;;;39FC;;;;No;;;;;Trabajo pendiente;
39;5.2;Revisión DOM;;;;;3/6/2026;10/6/2026;83%;6 días;;;Media;Pliego;;38FC;40FC;;;;No;;;;;Trabajo pendiente;
40;5.3;Presupuesto;;;;;11/6/2026;2/7/2026;38%;16 días;;;Media;Pliego;;39FC;;;;;No;;;;;Trabajo pendiente;
41;5.4;Documentación en papel;;;;;11/6/2026;2/7/2026;0%;16 días;;;Media;Pliego;;;42FC;;;;No;;;;;Trabajo pendiente;
42;5.5;ORSNA;;;;;3/7/2026;1/9/2026;0%;43 días;;;Media;Pliego;;41FC;43FC;;;;No;;;;;Trabajo pendiente;
43;5.6;Adjudicación;;;;;2/9/2026;1/10/2026;0%;22 días;;;Media;Pliego;;42FC;44FC;;;;No;;;;;Trabajo pendiente;
44;5.7;Ejecución;;;;;2/10/2026;30/12/2026;0%;64 días;;;Media;Pliego;;43FC;45FC;;;;No;;;;;Trabajo pendiente;
45;5.8;CAO presentado;;;;;31/12/2026;28/1/2027;0%;21 días;;;Media;Pliego;;44FC;;;;;No;;;;;Trabajo pendiente;
46;6;Puertas automáticas;COR;34445;150000;3;4/5/2026;28/1/2027;16%;194 días;https://s3.ariba.com/Sourcing/Main/aw?awh=r&awssk=7hV5on7rrTrFYSWw&realm=ca1492&awrdt=1#b0;700833;Media;;;;;;;;No;;;;;;
47;6.1;Pliego;;;;;4/5/2026;2/6/2026;100%;22 días;;;Media;Pliego;;;48FC;;;;No;;;;;Trabajo pendiente;
48;6.2;Revisión DOM;;;;;3/6/2026;10/6/2026;83%;6 días;;;Media;Pliego;;47FC;49FC;;;;No;;;;;Trabajo pendiente;
49;6.3;Presupuesto;;;;;11/6/2026;2/7/2026;38%;16 días;;;Media;Pliego;;48FC;;;;;No;;;;;Trabajo pendiente;
50;6.4;Documentación en papel;;;;;11/6/2026;2/7/2026;0%;16 días;;;Media;Pliego;;;51FC;;;;No;;;;;Trabajo pendiente;
51;6.5;ORSNA;;;;;3/7/2026;1/9/2026;0%;43 días;;;Media;Pliego;;50FC;52FC;;;;No;;;;;Trabajo pendiente;
52;6.6;Adjudicación;;;;;2/9/2026;1/10/2026;0%;22 días;;;Media;Pliego;;51FC;53FC;;;;No;;;;;Trabajo pendiente;
53;6.7;Ejecución;;;;;2/10/2026;30/12/2026;0%;64 días;;;Media;Pliego;;52FC;54FC;;;;No;;;;;Trabajo pendiente;
54;6.8;CAO presentado;;;;;31/12/2026;28/1/2027;0%;21 días;;;Media;Pliego;;53FC;;;;;No;;;;;Trabajo pendiente;
